date,revenue,to_date,,,,,,,,,,,
03/31/2023,"$15,222,358","$15,222,358",,,,,,,,,,,
04/01/2023,"$12,910,476","$28,132,834",,,,,,,,,,,
04/02/2023,"$9,072,950","$37,205,784",,,,,,,,,,,
04/03/2023,"$2,776,969","$39,982,753",,,,,,,,,,,
04/04/2023,"$3,630,908","$43,613,661",,,,,,,,,,,
04/05/2023,"$1,863,667","$45,477,328",,,,,,,,,,,
04/06/2023,"$2,300,212","$47,777,540",,,,,,,,,,,
04/07/2023,"$4,805,943","$52,583,483",,,,,,,,,,,
04/08/2023,"$5,743,037","$58,326,520",,,,,,,,,,,
04/09/2023,"$3,332,026","$61,658,546",,,,,,,,,,,
04/10/2023,"$1,546,680","$63,205,226",,,,,,,,,,,
04/11/2023,"$1,454,872","$64,660,098",,,,,,,,,,,
04/12/2023,"$1,102,014","$65,762,112",,,,,,,,,,,
04/13/2023,"$958,101","$66,720,213",,,,,,,,,,,
04/14/2023,"$1,965,667","$68,685,880",,,,,,,,,,,
04/15/2023,"$3,289,891","$71,975,771",,,,,,,,,,,
04/16/2023,"$2,273,100","$74,248,871",,,,,,,,,,,
04/17/2023,"$610,708","$74,859,579",,,,,,,,,,,
04/18/2023,"$805,830","$75,665,409",,,,,,,,,,,
04/19/2023,"$581,105","$76,246,514",,,,,,,,,,,
04/20/2023,"$540,731","$76,787,245",,,,,,,,,,,
04/21/2023,"$1,415,010","$78,202,255",,,,,,,,,,,
04/22/2023,"$2,470,308","$80,672,563",,,,,,,,,,,
04/23/2023,"$1,614,848","$82,287,411",,,,,,,,,,,
04/24/2023,"$415,017","$82,702,428",,,,,,,,,,,
04/25/2023,"$560,011","$83,262,439",,,,,,,,,,,
04/26/2023,"$411,763","$83,674,202",,,,,,,,,,,
04/27/2023,"$386,185","$84,060,387",,,,,,,,,,,
04/28/2023,"$1,025,511","$85,085,898",,,,,,,,,,,
04/29/2023,"$1,882,984","$86,968,882",,,,,,,,,,,
04/30/2023,"$1,262,853","$88,231,735",,,,,,,,,,,
05/01/2023,"$305,838","$88,537,573",,,,,,,,,,,
05/02/2023,"$418,089","$88,955,662",,,,,,,,,,,
05/03/2023,"$306,934","$89,262,596",,,,,,,,,,,
05/04/2023,"$159,035","$89,421,631",,,,,,,,,,,
05/05/2023,"$380,455","$89,802,086",,,,,,,,,,,
05/06/2023,"$680,190","$90,482,276",,,,,,,,,,,
05/07/2023,"$402,644","$90,884,920",,,,,,,,,,,
05/08/2023,"$129,938","$91,014,858",,,,,,,,,,,
05/09/2023,"$175,620","$91,190,478",,,,,,,,,,,
05/10/2023,"$133,404","$91,323,882",,,,,,,,,,,
05/11/2023,"$105,984","$91,429,866",,,,,,,,,,,
05/12/2023,"$216,018","$91,645,884",,,,,,,,,,,
05/13/2023,"$338,572","$91,984,456",,,,,,,,,,,
05/14/2023,"$237,968","$92,222,424",,,,,,,,,,,
05/15/2023,"$69,208","$92,291,632",,,,,,,,,,,
05/16/2023,"$86,037","$92,377,669",,,,,,,,,,,
05/17/2023,"$63,149","$92,440,818",,,,,,,,,,,
05/18/2023,"$49,471","$92,490,289",,,,,,,,,,,
05/19/2023,"$107,661","$92,597,950",,,,,,,,,,,
05/20/2023,"$175,079","$92,773,029",,,,,,,,,,,
05/21/2023,"$129,815","$92,902,844",,,,,,,,,,,
05/22/2023,"$47,568","$92,950,412",,,,,,,,,,,
05/23/2023,"$44,273","$92,994,685",,,,,,,,,,,
05/24/2023,"$38,040","$93,032,725",,,,,,,,,,,
05/25/2023,"$21,777","$93,054,502",,,,,,,,,,,
05/26/2023,"$41,720","$93,096,222",,,,,,,,,,,
05/27/2023,"$62,631","$93,158,853",,,,,,,,,,,
05/28/2023,"$46,017","$93,204,870",,,,,,,,,,,
05/29/2023,"$34,637","$93,239,507",,,,,,,,,,,
05/30/2023,"$14,022","$93,253,529",,,,,,,,,,,
05/31/2023,"$13,191","$93,266,720",,,,,,,,,,,
06/01/2023,"$10,306","$93,277,026",,,,,,,,,,,