days,10/22/2021,10/23/2021,10/24/2021,10/29/2021,10/30/2021,10/31/2021,11/01/21,11/02/21,11/03/21,11/04/21,11/05/21,11/06/21,11/07/21,11/08/21,11/09/21,11/10/21,11/11/21,11/12/21,11/13/2021,11/14/2021,11/15/2021,11/16/2021,11/17/2021,11/18/2021,11/19/2021,11/20/2021,11/21/2021,11/22/2021,11/23/2021,11/24/2021,11/25/2021,11/26/2021,11/27/2021,11/28/2021,11/29/2021,11/30/2021,12/01/21,12/02/21,12/03/21,12/04/21,12/05/21,12/06/21,12/07/21,12/08/21,12/09/21,12/10/21,12/11/21,12/12/21,12/13/2021,12/14/2021,12/15/2021,12/16/2021,12/17/2021,12/18/2021,12/19/2021,12/20/2021,12/21/2021,12/22/2021,12/23/2021,12/24/2021,12/25/2021,12/26/2021,12/27/2021,12/28/2021,12/29/2021,12/30/2021,12/31/2021,01/01/22,01/02/22,01/03/22,01/04/22,01/05/22,01/06/22,01/07/22,01/08/22,01/09/22,01/10/22,01/11/22,01/12/22,01/13/2022,01/14/2022,01/15/2022,01/16/2022,01/17/2022,01/18/2022,01/19/2022,01/20/2022,01/21/2022,01/22/2022,01/23/2022,01/24/2022,01/25/2022,01/26/2022,01/27/2022,01/28/2022,01/29/2022,01/30/2022,01/31/2022,02/01/22,02/02/22,02/03/22,02/04/22,02/05/22,02/06/22,02/07/22,02/08/22,02/09/22,02/10/22,02/11/22,02/12/22,02/13/2022,02/14/2022,02/15/2022,02/16/2022,02/17/2022,02/18/2022,02/19/2022,02/20/2022,02/21/2022,02/22/2022,02/23/2022,02/24/2022,02/25/2022,02/26/2022,02/27/2022,02/28/2022,03/01/22,03/02/22,03/03/22,03/04/22,03/05/22,03/06/22,03/07/22,03/08/22,03/09/22,03/10/22,03/11/22,03/12/22,03/13/2022,03/14/2022,03/15/2022,03/16/2022,03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022,03/24/2022,03/25/2022,03/26/2022,03/27/2022,03/28/2022,03/29/2022,03/30/2022,03/31/2022,04/01/22,04/02/22,04/03/22,04/04/22,04/05/22,04/06/22,04/07/22
Online News,342,101,219,116,70,75,126,135,144,403,149,49,119,68,167,75,199,81,22,39,65,46,42,103,29,28,69,39,36,77,128,53,24,39,78,50,49,115,60,29,393,42,86,52,76,93,48,22,55,101,79,64,91,37,35,57,360,190,67,31,26,14,54,52,38,47,42,31,24,58,82,36,41,43,314,120,57,53,54,34,47,31,31,29,78,25,69,166,32,16,43,56,84,110,51,18,19,34,60,52,118,106,27,47,46,638,143,75,60,71,31,43,58,40,52,34,35,32,28,40,53,95,52,16,69,83,129,136,129,169,53,160,135,130,284,295,116,530,179,361,189,288,162,272,82,424,280,140,117,207,271,172,392,990,318,106,96,174,38,32,49,69,47,59
QQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YouTube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facebook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legacy Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumblr,236,526,1012,249,246,181,187,184,148,139,128,122,135,159,302,165,237,258,128,122,89,66,189,308,194,96,131,93,70,77,95,312,276,187,144,73,53,99,61,575,418,224,139,127,142,80,172,111,82,70,78,36,52,496,575,533,288,162,271,112,166,135,80,87,74,73,341,331,1492,861,339,312,100,112,127,468,451,140,147,121,163,165,442,287,126,133,150,128,153,235,160,149,93,60,71,62,83,236,82,77,72,52,34,67,35,105,149,159,61,88,150,35,67,141,81,127,89,105,93,42,41,47,85,75,28,48,32,50,28,63,48,33,50,56,107,127,63,135,130,67,49,35,31,74,95,90,48,53,31,63,38,35,96,97,50,51,45,15,31,31,42,24,21,30
Instagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LinkedIn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blogs,53,57,77,27,26,18,31,17,17,12,18,13,9,15,20,9,8,9,7,9,11,16,8,9,12,7,5,7,6,9,7,3,6,5,1,12,10,10,4,6,11,3,5,8,8,10,5,3,15,6,5,5,6,8,3,10,6,8,5,5,1,3,4,7,3,9,13,9,10,9,5,3,6,6,5,6,0,7,1,6,6,4,7,5,6,0,5,9,4,2,2,2,3,11,5,1,6,2,2,5,8,1,3,7,6,33,12,7,4,3,10,8,7,11,2,3,3,2,6,6,2,3,2,1,4,8,4,3,2,4,7,3,5,6,3,6,6,2,16,11,4,9,8,7,9,14,11,6,6,5,8,12,36,30,7,1,5,6,4,2,2,4,5,4
Forums,539,754,681,330,242,184,260,196,123,136,118,181,267,170,115,129,132,121,295,158,103,77,95,94,74,79,92,97,73,98,59,48,42,69,61,74,57,91,91,91,101,66,49,52,66,67,40,45,60,54,83,72,48,32,32,53,46,49,57,54,59,58,64,52,66,86,66,71,33,64,43,48,85,44,111,48,74,74,83,58,70,43,57,62,51,53,53,30,58,48,53,34,52,44,50,39,56,50,40,43,57,43,43,40,96,112,74,72,58,79,67,62,35,38,23,46,28,43,35,44,32,19,30,23,27,48,15,25,35,45,27,39,47,67,53,45,43,61,51,75,40,51,36,44,53,49,90,45,51,40,115,69,148,115,75,71,45,41,129,41,31,28,60,41
Facebook Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X,3230,3110,3245,726,821,569,503,550,488,439,465,408,333,263,361,174,148,172,165,176,121,143,105,107,109,133,135,134,86,328,110,56,53,85,105,105,128,130,135,114,97,116,57,71,117,49,81,57,42,53,66,45,59,51,54,56,74,73,72,54,33,39,52,66,64,77,98,60,50,63,50,72,46,39,35,32,40,67,66,41,52,36,44,52,52,40,36,55,28,36,49,48,78,62,98,57,79,36,38,24,49,32,26,60,65,339,73,53,69,47,37,62,25,37,38,34,31,41,38,33,35,51,59,24,24,32,20,30,28,60,30,30,62,62,27,40,42,38,75,42,226,73,47,44,40,68,96,76,47,44,68,71,863,372,85,53,31,21,28,27,37,100,248,39
VK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Review,20,18,12,4,2,2,2,4,2,2,5,5,2,3,3,2,2,1,0,4,2,0,1,6,1,3,0,2,0,3,3,0,0,2,3,5,0,3,3,3,0,1,3,1,1,0,1,6,4,1,1,1,2,1,1,1,1,1,1,1,2,0,2,3,3,2,3,5,4,1,0,2,1,2,1,3,2,4,2,2,5,1,0,1,0,0,1,4,4,0,0,1,1,1,1,1,0,12,4,1,4,1,1,4,1,2,1,2,3,1,3,1,1,1,2,2,3,1,3,0,1,2,0,0,0,1,1,3,3,2,0,3,1,0,1,3,1,0,1,1,7,2,0,1,4,1,1,2,1,4,1,0,0,3,1,4,2,2,1,0,2,4,14,8
Reddit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4Chan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0