date,revenue,to_date,,,
07/07/2023,"$15,203,849","$15,203,849",,,
07/08/2023,"$10,071,050","$25,274,899",,,
07/09/2023,"$7,738,137","$33,013,036",,,
07/10/2023,"$3,507,174","$36,520,210",,,
07/11/2023,"$3,486,701","$40,006,911",,,
07/12/2023,"$2,547,367","$42,554,278",,,
07/13/2023,"$2,531,276","$45,085,554",,,
07/14/2023,"$4,165,322","$49,250,876",,,
07/15/2023,"$5,086,364","$54,337,240",,,
07/16/2023,"$3,749,917","$58,087,157",,,
07/17/2023,"$1,709,733","$59,796,890",,,
07/18/2023,"$2,002,067","$61,798,957",,,
07/19/2023,"$1,505,168","$63,304,125",,,
07/20/2023,"$1,197,548","$64,501,673",,,
07/21/2023,"$2,106,765","$66,608,438",,,
07/22/2023,"$2,564,943","$69,173,381",,,
07/23/2023,"$1,963,502","$71,136,883",,,
07/24/2023,"$1,003,467","$72,140,350",,,
07/25/2023,"$1,121,656","$73,262,006",,,
07/26/2023,"$942,391","$74,204,397",,,
07/27/2023,"$702,187","$74,906,584",,,
07/28/2023,"$1,040,752","$75,947,336",,,
07/29/2023,"$1,246,400","$77,193,736",,,
07/30/2023,"$923,771","$78,117,507",,,
07/31/2023,"$464,533","$78,582,040",,,
08/01/2023,"$428,755","$79,010,795",,,
08/02/2023,"$301,183","$79,311,978",,,
08/03/2023,"$218,109","$79,530,087",,,
08/04/2023,"$360,284","$79,890,371",,,
08/05/2023,"$440,510","$80,330,881",,,
08/06/2023,"$281,490","$80,612,371",,,
08/07/2023,"$133,288","$80,745,659",,,
08/08/2023,"$140,067","$80,885,726",,,
08/09/2023,"$101,359","$80,987,085",,,
08/10/2023,"$90,742","$81,077,827",,,
08/11/2023,"$145,148","$81,222,975",,,
08/12/2023,"$200,615","$81,423,590",,,
08/13/2023,"$118,993","$81,542,583",,,
08/14/2023,"$55,166","$81,597,749",,,
08/15/2023,"$58,301","$81,656,050",,,
08/16/2023,"$48,569","$81,704,619",,,
08/17/2023,"$34,956","$81,739,575",,,
08/18/2023,"$49,324","$81,788,899",,,
08/19/2023,"$63,640","$81,852,539",,,
08/20/2023,"$32,275","$81,884,814",,,
08/21/2023,"$12,894","$81,897,708",,,
08/22/2023,"$15,556","$81,913,264",,,
08/23/2023,"$13,582","$81,926,846",,,
08/24/2023,"$10,251","$81,937,097",,,
08/25/2023,"$29,374","$81,966,471",,,
08/26/2023,"$42,326","$82,008,797",,,
08/27/2023,"$28,314","$82,037,111",,,
08/28/2023,"$5,689","$82,042,800",,,
08/29/2023,"$6,402","$82,049,202",,,
08/30/2023,"$5,699","$82,054,901",,,
08/31/2023,"$5,107","$82,060,008",,,
09/01/2023,"$11,004","$82,071,012",,,
09/02/2023,"$23,572","$82,094,584",,,
09/03/2023,"$18,663","$82,113,247",,,
09/04/2023,"$18,663","$82,113,247",,,
09/05/2023,"$2,414","$82,122,088",,,
09/06/2023,"$2,309","$82,124,397",,,
09/07/2023,"$1,631","$82,126,028",,,
09/08/2023,"$9,717","$82,135,745",,,
09/09/2023,"$14,064","$82,149,809",,,
09/10/2023,"$3,051","$82,152,860",,,
09/11/2023,"$1,155","$82,154,015",,,
09/12/2023,"$1,064","$82,155,079",,,
09/13/2023,"$1,234","$82,156,313",,,
09/14/2023,$649,"$82,156,962",,,